employee_number,name,position,join_date,department,salary,age
6966573,Kevin Mcvay,Intern,1996-12-30,Production,21994,46
7392377,Ryan Mccollum,Assistant Manager,1984-10-12,People,57338,58
1436425,Alex Lindholm,Team Leader,2017-04-09,Logistics,51401,23
6825299,Fred Mcknight,Junior Developer,1991-03-01,Research and Development,10883,51
5382603,Simon Blahut,Team Leader,2012-10-03,Finance,55995,30
4828923,Grace Mccurry,Manager,1999-12-09,People,10853,43
6771137,Terry Miller,Senior Developer,2001-11-07,Research and Development,23499,41
5782891,Lucy Higginbotham,Team Leader,2013-01-31,Marketing,52980,30
9708295,Connor Mccracken,Assistant Manager,2010-11-24,IT,6640,22
6529929,Gregory Mcvicker,Senior Developer,2007-11-24,Research and Development,24291,35
2819180,Bruce Mckinley,Assistant Manager,2019-08-20,Logistics,62141,18
9094703,Ruby Mccreary,Team Leader,1996-05-09,Logistics,10203,46
8526429,Dennis Lindholm,Senior Developer,2003-10-31,Logistics,55515,39
8864581,Alexander Mcnabb,Senior Developer,1985-05-06,Customer Service,31354,57
6606690,Oscar Williams,Team Leader,1999-12-29,Finance,55819,43
4929994,John Brown,Junior Developer,1989-11-12,IT,10163,53
6021416,Chris Lindholm,Team Leader,1988-08-14,Marketing,25642,54
1953902,Anthony Taylor,Junior Developer,2015-10-29,Acquisitions,50166,27
8354080,Alice Majors,Assistant Manager,1983-10-19,Sales,6702,59
9542368,Juan Jones,Supervisor,1991-04-06,IT,50244,51
2077621,Roy Hutchins,Intern,2002-03-03,IT,22048,40
8752669,Jack Brown,Intern,2015-04-16,Production,6499,21
4925095,Ethan Mcnulty,Senior Developer,1993-05-12,IT,31024,49
6561949,Richard Brown,Intern,2002-03-27,Production,53414,40
3265551,Brian Koehler,Intern,2015-10-20,Research and Development,5574,18
4078999,Niamh Williams,Team Leader,1982-10-28,Customer Service,5253,60
1975631,Billy Mckinley,Manager,2006-07-27,Customer Service,57352,29
5887894,Roy Mckinley,Team Leader,2019-02-05,Customer Service,56567,24
5706730,Deborah Johnson,Junior Developer,1986-01-26,Marketing,5487,57
8616969,Alan Mcnulty,Team Leader,2007-08-04,Research and Development,32346,31
9562064,Lucas Krebs,Team Leader,1990-07-02,Production,23728,52
8709385,Alex Mcnulty,Junior Developer,2005-04-25,People,9804,37
9586246,Isabella Majors,Supervisor,2006-03-12,Logistics,21376,33
5780057,Aiden Taylor,Senior Developer,1989-06-27,Leadership,42132,53
7882855,Andrew Mcmillan,Senior Developer,2001-07-10,Production,10395,41
8208911,Gerald Mcnabb,Assistant Manager,2015-02-17,Finance,62031,27
3879479,Frank Moore,Intern,2001-07-16,Finance,9040,41
8005036,Thomas Lindholm,Team Leader,2019-12-07,Leadership,60780,23
9452977,Aiden Mcknight,Manager,1991-01-26,HR,21958,52
5097686,Ethan Jones,Senior Developer,2009-05-20,Research and Development,53221,33
1649700,Eugene Mangum,Manager,1997-10-13,IT,9685,45
5576978,Aiden Mcnulty,Supervisor,2006-10-07,Marketing,30038,27
4270213,Juan Mcginnis,Manager,2006-07-05,Finance,57038,36
3753278,Eugene Hutchins,Team Leader,2014-12-20,Production,10694,28
3355774,Howard Mcgill,Senior Developer,2007-03-12,Marketing,60225,35
2550218,Liam Mcclellan,Junior Developer,2014-05-22,HR,61048,28
5009489,Roy Wilson,Supervisor,2016-11-05,HR,9004,25
1814764,Chris Mccreary,Supervisor,1997-03-01,Leadership,32302,45
7395359,Hannah Mcclellan,Team Leader,1983-07-11,HR,60900,59
3846797,Grace Mcvicker,Junior Developer,2001-10-12,Finance,25152,41
4712278,Jerry Koehler,Junior Developer,1983-08-11,Marketing,56899,59
3203926,Stephen Mcphee,Senior Developer,2009-02-23,HR,30753,23
4657977,Kyle Johnson,Senior Developer,1991-09-25,Leadership,51708,51
7479526,Philip Krebs,Junior Developer,2012-02-27,Leadership,55945,24
3414055,Cameron Mcknight,Supervisor,1999-12-23,Production,40121,43
2817934,Eugene Mcmurray,Assistant Manager,2009-09-15,Marketing,5995,21
3286910,Aoife Taylor,Senior Developer,2011-02-12,IT,24077,31
2948002,Roisin Moore,Assistant Manager,2016-03-20,Sales,22370,26
3679794,Aaron Mcmullen,Team Leader,2005-04-29,HR,6138,37
6275032,Raymond Moore,Manager,2013-10-06,Research and Development,51826,29
6906695,Sophia Wilson,Intern,1988-05-18,Customer Service,52591,54
9510414,Anthony Mcclellan,Junior Developer,2008-03-02,HR,54086,34
4764582,Roy Majors,Team Leader,1996-01-29,Marketing,51425,47
4285963,Sean Mcphee,Assistant Manager,1996-07-18,Acquisitions,5069,46
6913603,Alexander Miller,Intern,2007-05-01,Sales,41706,23
5048456,Dylan Hutchins,Senior Developer,1986-01-10,Production,61794,57
9885923,David Hutchins,Manager,2014-08-07,IT,26040,28
